"blackfriday","sale","thanksgiving","brk","holiday","christmas","eve","gift","electronic","inception"
"71",0,0,0,0,0,0,0,0,1,"Thu Nov 22 21:50:43 +0000 2018"
"72",0,0,0,0,0,0,0,0,0,"Thu Nov 22 21:55:44 +0000 2018"
"73",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:00:45 +0000 2018"
"74",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:05:46 +0000 2018"
"75",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:10:47 +0000 2018"
"76",0,0,0,0,0,0,0,0,1,"Thu Nov 22 22:15:48 +0000 2018"
"77",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:20:49 +0000 2018"
"78",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:25:50 +0000 2018"
"79",0,0,0,0,0,0,0,0,1,"Thu Nov 22 22:30:51 +0000 2018"
"80",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:35:52 +0000 2018"
"81",0,0,0,0,0,0,0,0,1,"Thu Nov 22 22:40:53 +0000 2018"
"82",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:45:54 +0000 2018"
"83",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:50:55 +0000 2018"
"84",0,0,0,0,0,0,0,0,0,"Thu Nov 22 22:55:56 +0000 2018"
"85",0,0,0,0,0,0,0,0,0,"Thu Nov 22 23:00:57 +0000 2018"
"86",0,0,0,0,0,0,0,0,1,"Thu Nov 22 23:05:58 +0000 2018"
"87",0,0,0,0,0,0,0,0,0,"Thu Nov 22 23:10:59 +0000 2018"
"88",0,0,0,0,0,0,0,0,0,"Thu Nov 22 23:16:00 +0000 2018"
"89",0,0,0,0,0,0,0,0,0,"Thu Nov 22 23:21:01 +0000 2018"
"90",0,0,0,0,0,0,0,0,0,"Thu Nov 22 23:26:02 +0000 2018"
"91",0,0,0,0,0,0,0,0,1,"Thu Nov 22 23:31:03 +0000 2018"
"92",0,0,0,0,0,0,0,0,0,"Thu Nov 22 23:36:04 +0000 2018"
"93",0,0,0,0,0,0,0,0,0,"Thu Nov 22 23:41:05 +0000 2018"
"94",0,0,0,0,0,0,0,0,1,"Thu Nov 22 23:46:06 +0000 2018"
"95",0,0,0,0,0,0,0,0,0,"Thu Nov 22 23:51:07 +0000 2018"
"96",0,0,0,0,0,0,0,0,1,"Thu Nov 22 23:56:08 +0000 2018"
"97",0,0,0,0,0,0,0,0,0,"Fri Nov 23 00:01:09 +0000 2018"
"98",0,0,0,0,0,0,0,0,0,"Fri Nov 23 00:06:10 +0000 2018"
"99",0,0,0,0,0,0,0,0,0,"Fri Nov 23 00:11:11 +0000 2018"
"100",0,0,0,0,0,0,0,0,1,"Fri Nov 23 00:16:12 +0000 2018"
"101",0,0,0,0,0,0,0,0,1,"Fri Nov 23 00:21:13 +0000 2018"
"102",0,0,0,0,0,0,0,0,0,"Fri Nov 23 00:26:14 +0000 2018"
"103",0,0,0,0,0,0,0,0,0,"Fri Nov 23 00:31:15 +0000 2018"
"104",0,0,0,0,0,0,0,0,0,"Fri Nov 23 00:36:16 +0000 2018"
